tags,text,author
"change,deep-thoughts,thinking,world",“The world...,Albert Einstein
"abilities,choices",“It is our...,J.K. Rowling
"inspirational,life,live,miracle,miracles",“There are...,Albert Einstein
"aliteracy,books,classic,humor",“The perso...,Jane Austen
"be-yourself,inspirational",“Imperfect...,Marilyn Monroe
"adulthood,success,value",“Try not t...,Albert Einstein
"life,love",“It is bet...,André Gide
"edison,failure,inspirational,paraphrased",“I have no...,Thomas A. Edison
misattributed-eleanor-roosevelt,“A woman i...,Eleanor Roosevelt
"humor,obvious,simile",“A day wit...,Steve Martin
"friends,heartbreak,inspirational,life,love,sisters",“This life...,Marilyn Monroe
"courage,friends",“It takes...,J.K. Rowling
"simplicity,understand",“If you ca...,Albert Einstein
love,“You may n...,Bob Marley
fantasy,“I like no...,Dr. Seuss
"life,navigation",“I may not...,Douglas Adams
"activism,apathy,hate,indifference,inspirational,love,opposite,philosophy",“The oppos...,Elie Wiesel
"friendship,lack-of-friendship,lack-of-love,love,marriage,unhappy-marriage",“It is not...,Friedrich Nietzsche
"books,contentment,friends,friendship,life",“Good frie...,Mark Twain
"fate,life,misattributed-john-lennon,planning,plans",“Life is w...,Allen Saunders
"love,poetry",“I love yo...,Pablo Neruda
happiness,“For every...,Ralph Waldo Emerson
attributed-no-source,“If you ju...,Mother Teresa
"humor,religion",“Anyone wh...,Garrison Keillor
humor,“Beauty is...,Jim Henson
"comedy,life,yourself",“Today you...,Dr. Seuss
"children,fairy-tales",“If you wa...,Albert Einstein
,“It is imp...,J.K. Rowling
imagination,“Logic wil...,Albert Einstein
music,“One good...,Bob Marley
"learning,reading,seuss",“The more...,Dr. Seuss
dumbledore,“Of course...,J.K. Rowling
friendship,“The truth...,Bob Marley
"misattributed-to-mother-teresa,paraphrased",“Not all o...,Mother Teresa
"death,inspirational",“To the we...,J.K. Rowling
"chocolate,food,humor",“All you n...,Charles M. Schulz
"misattributed-to-c-s-lewis,reading",“We read t...,William Nicholson
"knowledge,learning,understanding,wisdom",“Any fool...,Albert Einstein
"books,library",“I have al...,Jorge Luis Borges
inspirational,“It is nev...,George Eliot
"read,readers,reading,reading-books",“A reader...,George R.R. Martin
"books,inspirational,reading,tea",“You can n...,C.S. Lewis
,“You belie...,Marilyn Monroe
"girls,love",“If you ca...,Marilyn Monroe
"life,simile",“Life is l...,Albert Einstein
love,“The real...,Marilyn Monroe
attributed-no-source,“A wise gi...,Marilyn Monroe
"hope,inspirational",“Only in t...,Martin Luther King Jr.
dumbledore,“It matter...,J.K. Rowling
love,“Love does...,James Baldwin
"friendship,love",“There is...,Jane Austen
"attributed,fear,inspiration",“Do one th...,Eleanor Roosevelt
attributed-no-source,“I am good...,Marilyn Monroe
music,“If I were...,Albert Einstein
"books,thought",“If you on...,Haruki Murakami
misattributed-to-einstein,“The diffe...,Alexandre Dumas fils
"drug,romance,simile",“He's like...,Stephenie Meyer
"books,friends,novelist-quotes",“There is...,Ernest Hemingway
inspirational,“When one...,Helen Keller
"inspirational,life,yourself",“Life isn'...,George Bernard Shaw
alcohol,“That's th...,Charles Bukowski
the-hunger-games,“You don’t...,Suzanne Collins
humor,"“Remember,...",Suzanne Collins
love,“To love a...,C.S. Lewis
"bilbo,journey,lost,quest,travel,wander",“Not all t...,J.R.R. Tolkien
live-death-love,“Do not pi...,J.K. Rowling
"good,writing",“There is...,Ernest Hemingway
"life,regrets",“Finish ea...,Ralph Waldo Emerson
education,“I have ne...,Mark Twain
troubles,“I have he...,Dr. Seuss
"friendship,love",“If I had...,Alfred Tennyson
humor,“Some peop...,Charles Bukowski
"humor,open-mind,thinking",“The troub...,Terry Pratchett
"humor,philosophy",“Think lef...,Dr. Seuss
"authors,books,literature,reading,writing",“What real...,J.D. Salinger
"humor,insanity,lies,lying,self-indulgence,truth",“The reaso...,George Carlin
"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",“You may s...,John Lennon
"humor,sinister",“I am free...,W.C. Fields
,“The quest...,Ayn Rand
"books,classic,reading",“′Classic′...,Mark Twain
mistakes,“Anyone wh...,Albert Einstein
"humor,love,romantic,women",“A lady's...,Jane Austen
integrity,"“Remember,...",J.K. Rowling
"books,library,reading",“I declare...,Jane Austen
"elizabeth-bennet,jane-austen",“There are...,Jane Austen
"age,fairytales,growing-up",“Some day...,C.S. Lewis
god,“We are no...,C.S. Lewis
"death,life",“The fear...,Mark Twain
"misattributed-mark-twain,truth",“A lie can...,Mark Twain
"christianity,faith,religion,sun",“I believe...,C.S. Lewis
truth,“The truth...,J.K. Rowling
"death,life",“I'm the o...,Jimi Hendrix
"adventure,love",“To die wi...,J.M. Barrie
courage,“It takes...,E.E. Cummings
life,“But bette...,Khaled Hosseini
better-life-empathy,“You never...,Harper Lee
"books,children,difficult,grown-ups,write,writers,writing",“You have...,Madeleine L'Engle
truth,“Never tel...,Mark Twain
inspirational,“A person'...,Dr. Seuss
"books,mind",“... a min...,George R.R. Martin
